name,other,date,value
波风水门,,2013-03-17,7756
波风水门,,2013-03-24,7804
波风水门,,2013-03-31,7502
波风水门,,2013-04-07,8105
波风水门,,2013-04-14,8187
波风水门,,2013-04-21,7857
波风水门,,2013-04-28,8631
波风水门,,2013-05-05,10263
波风水门,,2013-05-12,8174
波风水门,,2013-05-19,10145
波风水门,,2013-05-26,11806
波风水门,,2013-06-02,10505
波风水门,,2013-06-09,10235
波风水门,,2013-06-16,10179
波风水门,,2013-06-23,9749
波风水门,,2013-06-30,9447
波风水门,,2013-07-07,10676
波风水门,,2013-07-14,10201
波风水门,,2013-07-21,10111
波风水门,,2013-07-28,10953
波风水门,,2013-08-04,11415
波风水门,,2013-08-11,11726
波风水门,,2013-08-18,10887
波风水门,,2013-08-25,11246
波风水门,,2013-09-01,10383
波风水门,,2013-09-08,9800
波风水门,,2013-09-15,10619
波风水门,,2013-09-22,10403
波风水门,,2013-09-29,9566
波风水门,,2013-10-06,11370
波风水门,,2013-10-13,10509
波风水门,,2013-10-20,10546
波风水门,,2013-10-27,10160
波风水门,,2013-11-03,10665
波风水门,,2013-11-10,10565
波风水门,,2013-11-17,10237
波风水门,,2013-11-24,10078
波风水门,,2013-12-01,10040
波风水门,,2013-12-08,12665
波风水门,,2013-12-15,13464
波风水门,,2013-12-22,12327
波风水门,,2013-12-29,11646
波风水门,,2014-01-05,12164
波风水门,,2014-01-12,12063
波风水门,,2014-01-19,11620
波风水门,,2014-01-26,10535
波风水门,,2014-02-02,9732
波风水门,,2014-02-09,12447
波风水门,,2014-02-16,12736
波风水门,,2014-02-23,11582
波风水门,,2014-03-02,11245
波风水门,,2014-03-09,14615
波风水门,,2014-03-16,17208
波风水门,,2014-03-23,19930
波风水门,,2014-03-30,32790
波风水门,,2014-04-06,26979
波风水门,,2014-04-13,30141
波风水门,,2014-04-20,32190
波风水门,,2014-04-27,36774
波风水门,,2014-05-04,42926
波风水门,,2014-05-11,35365
波风水门,,2014-05-18,33495
波风水门,,2014-05-25,31801
波风水门,,2014-06-01,39175
波风水门,,2014-06-08,39346
波风水门,,2014-06-15,32671
波风水门,,2014-06-22,35170
波风水门,,2014-06-29,38956
波风水门,,2014-07-06,35097
波风水门,,2014-07-13,27166
波风水门,,2014-07-20,24615
波风水门,,2014-07-27,21683
波风水门,,2014-08-03,21522
波风水门,,2014-08-10,22556
波风水门,,2014-08-17,27762
波风水门,,2014-08-24,24516
波风水门,,2014-08-31,22083
波风水门,,2014-09-07,18745
波风水门,,2014-09-14,17290
波风水门,,2014-09-21,16904
波风水门,,2014-09-28,12930
波风水门,,2014-10-05,12488
波风水门,,2014-10-12,12070
波风水门,,2014-10-19,10883
波风水门,,2014-10-26,11225
波风水门,,2014-11-02,11569
波风水门,,2014-11-09,14541
波风水门,,2014-11-16,14877
波风水门,,2014-11-23,13428
波风水门,,2014-11-30,13387
波风水门,,2014-12-07,12257
波风水门,,2014-12-14,12313
波风水门,,2014-12-21,11580
波风水门,,2014-12-28,11266
波风水门,,2015-01-04,11819
波风水门,,2015-01-11,10831
波风水门,,2015-01-18,9642
波风水门,,2015-01-25,9190
波风水门,,2015-02-01,8980
波风水门,,2015-02-08,8874
波风水门,,2015-02-15,9866
波风水门,,2015-02-22,9250
波风水门,,2015-03-01,10438
波风水门,,2015-03-08,8710
波风水门,,2015-03-15,6922
波风水门,,2015-03-22,7119
波风水门,,2015-03-29,7342
波风水门,,2015-04-05,8472
波风水门,,2015-04-12,8668
波风水门,,2015-04-19,7932
波风水门,,2015-04-26,8468
波风水门,,2015-05-03,9025
波风水门,,2015-05-10,8751
波风水门,,2015-05-17,8879
波风水门,,2015-05-24,9076
波风水门,,2015-05-31,9633
波风水门,,2015-06-07,10376
波风水门,,2015-06-14,11734
波风水门,,2015-06-21,11556
波风水门,,2015-06-28,11253
波风水门,,2015-07-05,11965
波风水门,,2015-07-12,11934
波风水门,,2015-07-19,12116
波风水门,,2015-07-26,12134
波风水门,,2015-08-02,12605
波风水门,,2015-08-09,12505
波风水门,,2015-08-16,12270
波风水门,,2015-08-23,11908
波风水门,,2015-08-30,11249
波风水门,,2015-09-06,9635
波风水门,,2015-09-13,7845
波风水门,,2015-09-20,7954
波风水门,,2015-09-27,10513
波风水门,,2015-10-04,11688
波风水门,,2015-10-11,11587
波风水门,,2015-10-18,10531
波风水门,,2015-10-25,10615
波风水门,,2015-11-01,10284
波风水门,,2015-11-08,10618
波风水门,,2015-11-15,10395
波风水门,,2015-11-22,10882
波风水门,,2015-11-29,10549
波风水门,,2015-12-06,10515
波风水门,,2015-12-13,11186
波风水门,,2015-12-20,11298
波风水门,,2015-12-27,11546
波风水门,,2016-01-03,11565
波风水门,,2016-01-10,11636
波风水门,,2016-01-17,11611
波风水门,,2016-01-24,12678
波风水门,,2016-01-31,12953
波风水门,,2016-02-07,12448
波风水门,,2016-02-14,12115
波风水门,,2016-02-21,12935
波风水门,,2016-02-28,12969
波风水门,,2016-03-06,13106
波风水门,,2016-03-13,12777
波风水门,,2016-03-20,12448
波风水门,,2016-03-27,11755
波风水门,,2016-04-03,11783
波风水门,,2016-04-10,11831
波风水门,,2016-04-17,10887
波风水门,,2016-04-24,10795
波风水门,,2016-05-01,12583
波风水门,,2016-05-08,12680
波风水门,,2016-05-15,11674
波风水门,,2016-05-22,11850
波风水门,,2016-05-29,11896
波风水门,,2016-06-05,11941
波风水门,,2016-06-12,12471
波风水门,,2016-06-19,12091
波风水门,,2016-06-26,12221
波风水门,,2016-07-03,12446
波风水门,,2016-07-10,12100
波风水门,,2016-07-17,12960
波风水门,,2016-07-24,13016
波风水门,,2016-07-31,12441
波风水门,,2016-08-07,12871
波风水门,,2016-08-14,12091
波风水门,,2016-08-21,12244
波风水门,,2016-08-28,13477
波风水门,,2016-09-04,13887
波风水门,,2016-09-11,13188
波风水门,,2016-09-18,18064
波风水门,,2016-09-25,16322
波风水门,,2016-10-02,15157
波风水门,,2016-10-09,14375
波风水门,,2016-10-16,14486
波风水门,,2016-10-23,15194
波风水门,,2016-10-30,15797
波风水门,,2016-11-06,15764
波风水门,,2016-11-13,14286
波风水门,,2016-11-20,14675
波风水门,,2016-11-27,13367
波风水门,,2016-12-04,13402
波风水门,,2016-12-11,11916
波风水门,,2016-12-18,11015
波风水门,,2016-12-25,11271
波风水门,,2017-01-01,11859
波风水门,,2017-01-08,12011
波风水门,,2017-01-15,11436
波风水门,,2017-01-22,11312
波风水门,,2017-01-29,10675
波风水门,,2017-02-05,10303
波风水门,,2017-02-12,10735
波风水门,,2017-02-19,9703
波风水门,,2017-02-26,10130
波风水门,,2017-03-05,9991
波风水门,,2017-03-12,10391
波风水门,,2017-03-19,10700
波风水门,,2017-03-26,11070
波风水门,,2017-04-02,10491
波风水门,,2017-04-09,10787
波风水门,,2017-04-16,10098
波风水门,,2017-04-23,9640
波风水门,,2017-04-30,9880
波风水门,,2017-05-07,10163
波风水门,,2017-05-14,10143
波风水门,,2017-05-21,10045
波风水门,,2017-05-28,10514
波风水门,,2017-06-04,11009
波风水门,,2017-06-11,10902
波风水门,,2017-06-18,10940
波风水门,,2017-06-25,10719
波风水门,,2017-07-02,10493
波风水门,,2017-07-09,10348
波风水门,,2017-07-16,10065
波风水门,,2017-07-23,9790
波风水门,,2017-07-30,9882
波风水门,,2017-08-06,9522
波风水门,,2017-08-13,9553
波风水门,,2017-08-20,10036
波风水门,,2017-08-27,10400
波风水门,,2017-09-03,9791
波风水门,,2017-09-10,8933
波风水门,,2017-09-17,8860
波风水门,,2017-09-24,8981
波风水门,,2017-10-01,8572
波风水门,,2017-10-08,9227
波风水门,,2017-10-15,8300
波风水门,,2017-10-22,7854
波风水门,,2017-10-29,7794
波风水门,,2017-11-05,7911
波风水门,,2017-11-12,7733
波风水门,,2017-11-19,7932
波风水门,,2017-11-26,7540
波风水门,,2017-12-03,7766
波风水门,,2017-12-10,7706
波风水门,,2017-12-17,7564
波风水门,,2017-12-24,7739
波风水门,,2017-12-31,8018
波风水门,,2018-01-07,7955
波风水门,,2018-01-14,8164
波风水门,,2018-01-21,8233
波风水门,,2018-01-28,8463
波风水门,,2018-02-04,7949
波风水门,,2018-02-11,7966
波风水门,,2018-02-18,7896
波风水门,,2018-02-25,7655
波风水门,,2018-03-04,7225
波风水门,,2018-03-11,6888
波风水门,,2018-03-18,7322
波风水门,,2018-03-25,6768
波风水门,,2018-04-01,7252
波风水门,,2018-04-08,7554
波风水门,,2018-04-15,7422
波风水门,,2018-04-22,7803
波风水门,,2018-04-29,7930
波风水门,,2018-05-06,8144
波风水门,,2018-05-13,7970
波风水门,,2018-05-20,7669
波风水门,,2018-05-27,7503
波风水门,,2018-06-03,7845
波风水门,,2018-06-10,7900
波风水门,,2018-06-17,7884
波风水门,,2018-06-24,8061
波风水门,,2018-07-01,7872
波风水门,,2018-07-08,8050
波风水门,,2018-07-15,8010
波风水门,,2018-07-22,8074
波风水门,,2018-07-29,8218
波风水门,,2018-08-05,8178
波风水门,,2018-08-12,8092
波风水门,,2018-08-19,8131
波风水门,,2018-08-26,7628
波风水门,,2018-09-02,6469
波风水门,,2018-09-09,5617
波风水门,,2018-09-16,6019
波风水门,,2018-09-23,6431
波风水门,,2018-09-30,6721
波风水门,,2018-10-07,7874
波风水门,,2018-10-14,7187
波风水门,,2018-10-21,7275
波风水门,,2018-10-28,6951
波风水门,,2018-11-04,7182
波风水门,,2018-11-11,7278
波风水门,,2018-11-18,5960
波风水门,,2018-11-25,6671
波风水门,,2018-12-02,7305
波风水门,,2018-12-09,7486
波风水门,,2018-12-16,7105
波风水门,,2018-12-23,7699
波风水门,,2018-12-30,8208
波风水门,,2019-01-06,7885
波风水门,,2019-01-13,8164
波风水门,,2019-01-20,8078
波风水门,,2019-01-27,9458
波风水门,,2019-02-03,8646
波风水门,,2019-02-10,7931
波风水门,,2019-02-17,8461
波风水门,,2019-02-24,7861
波风水门,,2019-03-03,6794
波风水门,,2019-03-10,6786
波风水门,,2019-03-17,6747
波风水门,,2019-03-24,7133
波风水门,,2019-03-31,7570
波风水门,,2019-04-07,7795
波风水门,,2019-04-14,8149
波风水门,,2019-04-21,8139
波风水门,,2019-04-28,7790
波风水门,,2019-05-05,7525
波风水门,,2019-05-12,8597
波风水门,,2019-05-19,9102
波风水门,,2019-05-26,9388
波风水门,,2019-06-02,8929
波风水门,,2019-06-09,9397
波风水门,,2019-06-16,9449
波风水门,,2019-06-23,10194
波风水门,,2019-06-30,10145
波风水门,,2019-07-07,9822
波风水门,,2019-07-14,10216
波风水门,,2019-07-21,9805
波风水门,,2019-07-28,9491
波风水门,,2019-08-04,8905
波风水门,,2019-08-11,8729
波风水门,,2019-08-18,8608
波风水门,,2019-08-25,8620
波风水门,,2019-09-01,8340
波风水门,,2019-09-08,8014
波风水门,,2019-09-15,8671
波风水门,,2019-09-22,8114
波风水门,,2019-09-29,8068
波风水门,,2019-10-06,8698
波风水门,,2019-10-13,7993
波风水门,,2019-10-20,7986
波风水门,,2019-10-27,8143
波风水门,,2019-11-03,7938
波风水门,,2019-11-10,8284
波风水门,,2019-11-17,8361
波风水门,,2019-11-24,8551
波风水门,,2019-12-01,8896
波风水门,,2019-12-08,9407
波风水门,,2019-12-15,9861
波风水门,,2019-12-22,9678
波风水门,,2019-12-29,9876
波风水门,,2020-01-05,10531
波风水门,,2020-01-12,13980
波风水门,,2020-01-19,13135
波风水门,,2020-01-26,10892
波风水门,,2020-02-02,11716
波风水门,,2020-02-09,13027
波风水门,,2020-02-16,14488
波风水门,,2020-02-23,14715
波风水门,,2020-03-01,15495
波风水门,,2020-03-08,14821
波风水门,,2020-03-15,14151
波风水门,,2020-03-22,13971
波风水门,,2020-03-29,13699
波风水门,,2020-04-05,13076
波风水门,,2020-04-12,12310
波风水门,,2020-04-19,11277
波风水门,,2020-04-26,10808
波风水门,,2020-05-03,10080
波风水门,,2020-05-10,9944
波风水门,,2020-05-17,10160
波风水门,,2020-05-24,9930
波风水门,,2020-05-31,9808
波风水门,,2020-06-07,9748
波风水门,,2020-06-14,9830
波风水门,,2020-06-21,9931
波风水门,,2020-06-28,10225
波风水门,,2020-07-05,9784
波风水门,,2020-07-12,9873
波风水门,,2020-07-19,9972
波风水门,,2020-07-26,13399
波风水门,,2020-08-02,11059
波风水门,,2020-08-09,10662
波风水门,,2020-08-16,9761
波风水门,,2020-08-23,9048
波风水门,,2020-08-30,8560
波风水门,,2020-09-06,7846
波风水门,,2020-09-13,8329
波风水门,,2020-09-20,8192
波风水门,,2020-09-27,8006
波风水门,,2020-10-04,8509
波风水门,,2020-10-11,8175
波风水门,,2020-10-18,7840
波风水门,,2020-10-25,8738
波风水门,,2020-11-01,8746
波风水门,,2020-11-08,7871
波风水门,,2020-11-15,8253
波风水门,,2020-11-22,8455
波风水门,,2020-11-29,8326
波风水门,,2020-12-06,8371
波风水门,,2020-12-13,8446
波风水门,,2020-12-20,7930
波风水门,,2020-12-27,8087
波风水门,,2021-01-03,8180
波风水门,,2021-01-10,8251
波风水门,,2021-01-17,8424
波风水门,,2021-01-24,8377
波风水门,,2021-01-31,9262
波风水门,,2021-02-07,8724
波风水门,,2021-02-14,8129
波风水门,,2021-02-21,8022
波风水门,,2021-02-28,7903
波风水门,,2021-03-07,7455
波风水门,,2021-03-14,7764
波风水门,,2021-03-21,7718
波风水门,,2021-03-28,7586
波风水门,,2021-04-04,7759
波风水门,,2021-04-11,7778
波风水门,,2021-04-18,7816
波风水门,,2021-04-25,7532
波风水门,,2021-05-02,7689
波风水门,,2021-05-09,7805
波风水门,,2021-05-16,7865
波风水门,,2021-05-23,7944
波风水门,,2021-05-30,7971
波风水门,,2021-06-06,8064
波风水门,,2021-06-13,8259
波风水门,,2021-06-20,8137
波风水门,,2021-06-27,8180
波风水门,,2021-07-04,8321
波风水门,,2021-07-11,8408
波风水门,,2021-07-18,8434
波风水门,,2021-07-25,8331
波风水门,,2021-08-01,8335
波风水门,,2021-08-08,8746
波风水门,,2021-08-15,8971
波风水门,,2021-08-22,9722
波风水门,,2021-08-29,9340
波风水门,,2021-09-05,8639
波风水门,,2021-09-12,8507
波风水门,,2021-09-19,8673
波风水门,,2021-09-26,9159
波风水门,,2021-10-03,9357
波风水门,,2021-10-10,9255
波风水门,,2021-10-17,8172
波风水门,,2021-10-24,8040
波风水门,,2021-10-31,8406
波风水门,,2021-11-07,8342
波风水门,,2021-11-14,8051
波风水门,,2021-11-21,8249
波风水门,,2021-11-28,8107
波风水门,,2021-12-05,8064
波风水门,,2021-12-12,8267
波风水门,,2021-12-19,7833
波风水门,,2021-12-26,7862
波风水门,,2022-01-02,7687
波风水门,,2022-01-09,7725
波风水门,,2022-01-16,7720
波风水门,,2022-01-23,8005
波风水门,,2022-01-30,8995
波风水门,,2022-02-06,7735
波风水门,,2022-02-13,8129
波风水门,,2022-02-20,7858
波风水门,,2022-02-27,7644
波风水门,,2022-03-06,7899
波风水门,,2022-03-13,7925
波风水门,,2022-03-20,8175
波风水门,,2022-03-27,8381
波风水门,,2022-04-03,8284
波风水门,,2022-04-04,1303
君麻吕,,2011-01-02,1351
君麻吕,,2011-01-09,4028
君麻吕,,2011-01-16,4468
君麻吕,,2011-01-23,4482
君麻吕,,2011-01-30,4744
君麻吕,,2011-02-06,4382
君麻吕,,2011-02-13,5077
君麻吕,,2011-02-20,4596
君麻吕,,2011-02-27,3912
君麻吕,,2011-03-06,4098
君麻吕,,2011-03-13,4977
君麻吕,,2011-03-20,4903
君麻吕,,2011-03-27,4757
君麻吕,,2011-04-03,4701
君麻吕,,2011-04-10,5570
君麻吕,,2011-04-17,5574
君麻吕,,2011-04-24,5484
君麻吕,,2011-05-01,5538
君麻吕,,2011-05-08,5825
君麻吕,,2011-05-15,5366
君麻吕,,2011-05-22,5578
君麻吕,,2011-05-29,5875
君麻吕,,2011-06-05,5562
君麻吕,,2011-06-12,5893
君麻吕,,2011-06-19,5510
君麻吕,,2011-06-26,5761
君麻吕,,2011-07-03,6145
君麻吕,,2011-07-10,6317
君麻吕,,2011-07-17,6509
君麻吕,,2011-07-24,6083
君麻吕,,2011-07-31,6398
君麻吕,,2011-08-07,6402
君麻吕,,2011-08-14,6233
君麻吕,,2011-08-21,5801
君麻吕,,2011-08-28,5459
君麻吕,,2011-09-04,4865
君麻吕,,2011-09-11,4697
君麻吕,,2011-09-18,4842
君麻吕,,2011-09-25,4642
君麻吕,,2011-10-02,4844
君麻吕,,2011-10-09,5336
君麻吕,,2011-10-16,5405
君麻吕,,2011-10-23,5125
君麻吕,,2011-10-30,5215
君麻吕,,2011-11-06,5355
君麻吕,,2011-11-13,5245
君麻吕,,2011-11-20,5375
君麻吕,,2011-11-27,6181
君麻吕,,2011-12-04,5365
君麻吕,,2011-12-11,5125
君麻吕,,2011-12-18,4992
君麻吕,,2011-12-25,4556
君麻吕,,2012-01-01,4293
君麻吕,,2012-01-08,4819
君麻吕,,2012-01-15,4828
君麻吕,,2012-01-22,5209
君麻吕,,2012-01-29,4819
君麻吕,,2012-02-05,5328
君麻吕,,2012-02-12,5279
君麻吕,,2012-02-19,5157
君麻吕,,2012-02-26,5162
君麻吕,,2012-03-04,5347
君麻吕,,2012-03-11,5629
君麻吕,,2012-03-18,5602
君麻吕,,2012-03-25,5820
君麻吕,,2012-04-01,6517
君麻吕,,2012-04-08,7885
君麻吕,,2012-04-15,6923
君麻吕,,2012-04-22,6491
君麻吕,,2012-04-29,7238
君麻吕,,2012-05-06,8118
君麻吕,,2012-05-13,7925
君麻吕,,2012-05-20,7119
君麻吕,,2012-05-27,6801
君麻吕,,2012-06-03,6788
君麻吕,,2012-06-10,7134
君麻吕,,2012-06-17,7824
君麻吕,,2012-06-24,7678
君麻吕,,2012-07-01,7166
君麻吕,,2012-07-08,7539
君麻吕,,2012-07-15,7865
君麻吕,,2012-07-22,7360
君麻吕,,2012-07-29,6903
君麻吕,,2012-08-05,6885
君麻吕,,2012-08-12,6775
君麻吕,,2012-08-19,6348
君麻吕,,2012-08-26,6476
君麻吕,,2012-09-02,6330
君麻吕,,2012-09-09,5038
君麻吕,,2012-09-16,4924
君麻吕,,2012-09-23,4494
君麻吕,,2012-09-30,3986
君麻吕,,2012-10-07,5527
君麻吕,,2012-10-14,4172
君麻吕,,2012-10-21,4381
君麻吕,,2012-10-28,4507
君麻吕,,2012-11-04,4504
君麻吕,,2012-11-11,4707
君麻吕,,2012-11-18,4657
君麻吕,,2012-11-25,4846
君麻吕,,2012-12-02,4525
君麻吕,,2012-12-09,4713
君麻吕,,2012-12-16,4390
君麻吕,,2012-12-23,4461
君麻吕,,2012-12-30,4281
君麻吕,,2013-01-06,4413
君麻吕,,2013-01-13,4325
君麻吕,,2013-01-20,4695
君麻吕,,2013-01-27,5077
君麻吕,,2013-02-03,5451
君麻吕,,2013-02-10,5413
君麻吕,,2013-02-17,5360
君麻吕,,2013-02-24,5286
君麻吕,,2013-03-03,5590
君麻吕,,2013-03-10,5792
君麻吕,,2013-03-17,5532
君麻吕,,2013-03-24,5335
君麻吕,,2013-03-31,5170
君麻吕,,2013-04-07,5771
君麻吕,,2013-04-14,5006
君麻吕,,2013-04-21,4876
君麻吕,,2013-04-28,4508
君麻吕,,2013-05-05,5440
君麻吕,,2013-05-12,5151
君麻吕,,2013-05-19,5418
君麻吕,,2013-05-26,4968
君麻吕,,2013-06-02,5255
君麻吕,,2013-06-09,5334
君麻吕,,2013-06-16,6041
君麻吕,,2013-06-23,6121
君麻吕,,2013-06-30,6092
君麻吕,,2013-07-07,6423
君麻吕,,2013-07-14,6085
君麻吕,,2013-07-21,6318
君麻吕,,2013-07-28,6423
君麻吕,,2013-08-04,6022
君麻吕,,2013-08-11,5965
君麻吕,,2013-08-18,5938
君麻吕,,2013-08-25,6119
君麻吕,,2013-09-01,5714
君麻吕,,2013-09-08,4919
君麻吕,,2013-09-15,5910
君麻吕,,2013-09-22,5575
君麻吕,,2013-09-29,4740
君麻吕,,2013-10-06,6089
君麻吕,,2013-10-13,5273
君麻吕,,2013-10-20,5005
君麻吕,,2013-10-27,4919
君麻吕,,2013-11-03,5428
君麻吕,,2013-11-10,5587
君麻吕,,2013-11-17,5049
君麻吕,,2013-11-24,5253
君麻吕,,2013-12-01,5075
君麻吕,,2013-12-08,5514
君麻吕,,2013-12-15,4984
君麻吕,,2013-12-22,4609
君麻吕,,2013-12-29,4671
君麻吕,,2014-01-05,4898
君麻吕,,2014-01-12,4445
君麻吕,,2014-01-19,4380
君麻吕,,2014-01-26,4320
君麻吕,,2014-02-02,4136
君麻吕,,2014-02-09,4665
君麻吕,,2014-02-16,4405
君麻吕,,2014-02-23,4030
君麻吕,,2014-03-02,3719
君麻吕,,2014-03-09,4186
君麻吕,,2014-03-16,4475
君麻吕,,2014-03-23,4279
君麻吕,,2014-03-30,6997
君麻吕,,2014-04-06,5814
君麻吕,,2014-04-13,5763
君麻吕,,2014-04-20,6581
君麻吕,,2014-04-27,5868
君麻吕,,2014-05-04,5744
君麻吕,,2014-05-11,5392
君麻吕,,2014-05-18,5890
君麻吕,,2014-05-25,6103
君麻吕,,2014-06-01,6667
君麻吕,,2014-06-08,8533
君麻吕,,2014-06-15,6765
君麻吕,,2014-06-22,6097
君麻吕,,2014-06-29,5578
君麻吕,,2014-07-06,5644
君麻吕,,2014-07-13,6395
君麻吕,,2014-07-20,5741
君麻吕,,2014-07-27,6150
君麻吕,,2014-08-03,5710
君麻吕,,2014-08-10,5745
君麻吕,,2014-08-17,5898
君麻吕,,2014-08-24,5993
君麻吕,,2014-08-31,5796
君麻吕,,2014-09-07,5150
君麻吕,,2014-09-14,4913
君麻吕,,2014-09-21,4578
君麻吕,,2014-09-28,5316
君麻吕,,2014-10-05,5382
君麻吕,,2014-10-12,5838
君麻吕,,2014-10-19,5721
君麻吕,,2014-10-26,5997
君麻吕,,2014-11-02,6324
君麻吕,,2014-11-09,8400
君麻吕,,2014-11-16,10336
君麻吕,,2014-11-23,10113
君麻吕,,2014-11-30,8905
君麻吕,,2014-12-07,7846
君麻吕,,2014-12-14,7692
君麻吕,,2014-12-21,6506
君麻吕,,2014-12-28,6587
君麻吕,,2015-01-04,7327
君麻吕,,2015-01-11,6142
君麻吕,,2015-01-18,6226
君麻吕,,2015-01-25,5557
君麻吕,,2015-02-01,6120
君麻吕,,2015-02-08,6286
君麻吕,,2015-02-15,6385
君麻吕,,2015-02-22,6154
君麻吕,,2015-03-01,6751
君麻吕,,2015-03-08,5468
君麻吕,,2015-03-15,6543
君麻吕,,2015-03-22,5144
君麻吕,,2015-03-29,4788
君麻吕,,2015-04-05,5055
君麻吕,,2015-04-12,5012
君麻吕,,2015-04-19,5053
君麻吕,,2015-04-26,5138
君麻吕,,2015-05-03,5719
君麻吕,,2015-05-10,5657
君麻吕,,2015-05-17,5658
君麻吕,,2015-05-24,5759
君麻吕,,2015-05-31,6472
君麻吕,,2015-06-07,6583
君麻吕,,2015-06-14,6580
君麻吕,,2015-06-21,6616
君麻吕,,2015-06-28,6828
君麻吕,,2015-07-05,7295
君麻吕,,2015-07-12,7621
君麻吕,,2015-07-19,7369
君麻吕,,2015-07-26,7127
君麻吕,,2015-08-02,7725
君麻吕,,2015-08-09,7872
君麻吕,,2015-08-16,7482
君麻吕,,2015-08-23,7189
君麻吕,,2015-08-30,6617
君麻吕,,2015-09-06,5645
君麻吕,,2015-09-13,4663
君麻吕,,2015-09-20,4681
君麻吕,,2015-09-27,5545
君麻吕,,2015-10-04,5579
君麻吕,,2015-10-11,5163
君麻吕,,2015-10-18,4839
君麻吕,,2015-10-25,4963
君麻吕,,2015-11-01,4844
君麻吕,,2015-11-08,4881
君麻吕,,2015-11-15,4913
君麻吕,,2015-11-22,4808
君麻吕,,2015-11-29,4830
君麻吕,,2015-12-06,4751
君麻吕,,2015-12-13,4666
君麻吕,,2015-12-20,4509
君麻吕,,2015-12-27,5177
君麻吕,,2016-01-03,5009
君麻吕,,2016-01-10,5806
君麻吕,,2016-01-17,6960
君麻吕,,2016-01-24,8009
君麻吕,,2016-01-31,8188
君麻吕,,2016-02-07,8967
君麻吕,,2016-02-14,9025
